,price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,code
1594,0.27875360095282886,0.20624783068189756,0.2615453065577631,0.15000000000000002,0.6785714285714285,0.22996600290867986,1,0,0,0.14285714285714285
1595,0.6901960800285141,0.4299126676635905,0.5625013992759746,0.3500000000000001,0.4285714285714285,0.5169953326656691,1,1,1,0.42857142857142855
1596,0.2355284469075487,0.17418889111848967,0.347262175557975,0.0,0.6071428571428571,0.6792566110800579,1,0,1,0.7142857142857142
1597,0.2648178230095366,0.18496389803771995,0.38710442465245043,0.050000000000000044,0.6428571428571428,0.3882976552584404,0,0,1,0.8571428571428572
1598,0.505149978319906,0.15236137361284574,0.347262175557975,0.15000000000000002,0.035714285714285726,0.3882976552584404,1,1,1,0.8571428571428572
1599,0.4941545940184431,0.47434330203962904,0.5135478524859298,0.4,0.4999999999999999,0.3882976552584404,1,0,1,0.7142857142857142
1600,0.8325089127062364,0.7258728843242703,0.8088878338936292,0.4,0.6785714285714285,0.22996600290867986,1,1,1,0.2857142857142857
1601,0.3692158574101432,0.40262491658037525,0.38710442465245043,0.25,0.7142857142857142,0.130120800775899,1,0,1,0.5714285714285714
1602,0.3463529744506386,0.2271911544608829,0.30547564888405,0.10000000000000003,0.9999999999999999,0.6792566110800579,1,0,0,0.14285714285714285
1603,0.36172783601759284,0.20624783068189756,0.2615453065577631,0.15000000000000002,0.6071428571428571,0.3882976552584404,1,0,1,0.7142857142857142
1604,0.37291200297010696,0.3078581395194735,0.36741496197343526,0.25,0.6928571428571427,0.130120800775899,1,0,0,0.5714285714285714
1605,0.40140054078154397,0.3273140231639642,0.36741496197343526,0.25,0.6785714285714285,0.22996600290867986,1,0,1,0.14285714285714285
1606,0.49136169383427286,0.3078581395194735,0.5464924489475349,0.15000000000000002,0.0,0.6792566110800579,1,1,1,0.0
1607,0.6020599913279623,0.4299126676635905,0.5625013992759746,0.45000000000000007,0.8214285714285713,0.9025172702761631,1,0,1,0.2857142857142857
1608,0.3502480183341625,0.2478097165253348,0.38710442465245043,0.10000000000000003,0.3571428571428571,0.9999999999999999,1,0,1,0.0
1609,0.36172783601759284,0.4389012459674837,0.7472458490161973,0.4,0.7499999999999999,0.9025172702761631,0,0,1,0.7142857142857142
1610,0.4771212547196624,0.11888899037225564,0.28379211334629373,0.050000000000000044,0.2857142857142857,0.22996600290867986,1,1,1,0.42857142857142855
1611,0.49136169383427286,0.3369433630413914,0.38710442465245043,0.25,0.4285714285714285,0.3882976552584404,0,1,1,0.42857142857142855
1612,0.9138138523837169,0.5761860726339247,0.8438499905483954,0.25,0.24999999999999997,0.3882976552584404,1,1,1,0.5714285714285714
1613,0.6434526764861876,0.5429389614129665,0.6527378244420246,0.2,0.10714285714285712,0.6792566110800579,1,1,1,1.0
1614,0.27875360095282886,0.18496389803771995,0.23870518217991288,0.15000000000000002,0.6785714285714285,0.9025172702761631,1,0,1,0.14285714285714285
1615,0.37291200297010696,0.3369433630413914,0.4251753103317588,0.25,0.9999999999999999,0.3882976552584404,1,0,1,0.14285714285714285
1616,0.3010299956639815,0.2478097165253348,0.38710442465245043,0.050000000000000044,0.6785714285714285,0.6792566110800579,1,0,1,0.14285714285714285
1617,0.3424226808222064,0.37483326395486327,0.44359438379500693,0.15000000000000002,0.8214285714285713,0.22996600290867986,0,0,0,0.14285714285714285
1618,0.20411998265592457,0.16332217705160867,0.36741496197343526,0.050000000000000044,0.6071428571428571,0.6792566110800579,1,0,1,0.7142857142857142
